unnamed0,order,pID,msSubclass,msZoning,lotFrontage,lotArea,street,alley,lotShape,landContour,utilities,lotConfig,landSlope,neighborhood,condition1,condition2,bldgType,houseStyle,overallQual,overallCond,yearBuilt,yearRemodAdd,roofStyle,roofMatl,exterior1st,exterior2nd,masVnrType,masVnrArea,exterQual,exterCond,foundation,bsmtQual,bsmtCond,bsmtExposure,bsmtfinType1,bsmtfinSf1,bsmtfinType2,bsmtfinSf2,bsmtUnfSf,totalBsmtSf,heating,heatingQc,centralAir,electrical,1stFlrSf,2ndFlrSf,lowQualFinSf,grLivArea,bsmtFullBath,bsmtHalfBath,fullBath,halfBath,bedroomAbvgr,kitchenAbvgr,kitchenQual,totrmsAbvgrd,functional,fireplaces,fireplaceQu,garageType,garageYrBlt,garageFinish,garageCars,garageArea,garageQual,garageCond,pavedDrive,woodDeckSf,openPorchSf,enclosedPorch,3ssnPorch,screenPorch,poolQc,fence,miscFeature,miscVal,moSold,yrSold,saleType,saleCondition,salePrice,houseAge,yearsSinceRemod,isRemodeled,totalSf,totalBathrooms,totalPorchSf,qualityAreaInt,isPeakSeason,hasPool,hasFireplace,hasGarage
10,11,527163010,4.110873864173311,RL,4.330733340286331,9.210440366976517,Pave,None,2,Lvl,AllPub,Corner,2,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,1,Unf,0.0,Unf,0.0,6.638567789166521,763.0,GasA,4,Y,SBrkr,6.638567789166521,6.794586580876499,0.0,7.412160334945205,0.0,0.0,2,1,3,0.6931471805599453,3,7,7,1,TA,Attchd,7.597897950521784,3,2.0,440.0,3,3,2,5.062595033026967,4.442651256490317,0.0,0.0,0.0,0,0.0,None,0.0,4,2010,WD ,Normal,12.077676615757813,17,16,1,770.4121603349452,2.5,4.442651256490317,44.47296200967123,1,0,1,1
11,12,527165230,3.044522437723423,RL,4.174387269895637,8.984818995876008,Pave,None,2,Lvl,AllPub,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,ALQ,6.841615476477592,Unf,0.0,5.455321115357702,1168.0,GasA,5,Y,SBrkr,7.080026499922591,0.0,0.0,7.080026499922591,1.0,0.0,2,0,3,0.6931471805599453,3,6,7,0,None,Attchd,7.597396320212795,3,2.0,420.0,3,3,2,6.182084906716632,3.091042453358316,0.0,0.0,0.0,0,,Shed,6.2166061010848646,3,2010,WD ,Normal,12.128116509451258,18,3,1,1175.0800264999225,3.0,3.091042453358316,42.48015899953555,0,0,0,1
12,13,527166040,4.110873864173311,RL,4.1588830833596715,9.036344063928219,Pave,None,2,Lvl,AllPub,Inside,2,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,Unf,0.0,Unf,0.0,6.672032945461067,789.0,GasA,4,Y,SBrkr,6.672032945461067,6.517671272912275,0.0,7.290292882446597,0.0,0.0,2,1,3,0.6931471805599453,3,7,7,1,Gd,Attchd,7.6004023345004,3,2.0,393.0,3,3,2,0.0,4.330733340286331,0.0,0.0,0.0,0,0.0,None,0.0,5,2010,WD ,Normal,12.102937429832547,12,12,0,796.2902928824466,2.5,4.330733340286331,43.74175729467958,1,0,1,1
13,14,527180040,3.044522437723423,RL,4.454347296253507,9.227885551191932,Pave,None,3,Lvl,AllPub,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,4,GLQ,6.45833828334479,Unf,0.0,6.498282149476434,1300.0,GasA,4,Y,SBrkr,7.201916317531627,0.0,0.0,7.201916317531627,1.0,0.0,1,1,2,0.6931471805599453,4,5,7,1,Po,Attchd,7.596392304064196,1,2.0,506.0,3,3,2,5.262690188904886,0.0,0.0,0.0,0.0,0,0.0,None,0.0,2,2010,WD ,Normal,12.052344376474922,20,20,0,1307.2019163175316,2.5,0.0,50.41341422272139,0,0,1,1
14,15,527182190,4.795790545596741,RL,4.110873864173311,8.82776136765472,Pave,None,2,Lvl,AllPub,Corner,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,3,GLQ,5.910796644040527,BLQ,7.02197642307216,0.0,1488.0,GasA,3,Y,SBrkr,7.315218389752975,0.0,0.0,7.315218389752975,1.0,0.0,1,1,1,0.6931471805599453,4,4,7,0,None,Attchd,7.593877844605118,2,2.0,528.0,3,3,2,0.0,4.007333185232471,0.0,0.0,4.948759890378168,0,0.0,None,0.0,6,2010,WD ,Normal,12.264346270624157,25,25,0,1495.315218389753,2.5,8.956093075610639,58.5217471180238,1,0,0,1
15,16,527216070,4.110873864173311,RL,3.871201010907891,10.887530386461101,Pave,None,1,HLS,AllPub,CulDSac,1,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,6.403574197934815,5,3,PConc,4,3,4,ALQ,7.256297239690681,Unf,0.0,5.459585514144159,1650.0,GasA,5,Y,SBrkr,7.43307534889858,7.371489295214277,0.0,8.09559870137819,1.0,0.0,3,1,4,0.6931471805599453,5,12,4,1,Gd,BuiltIn,7.602900462204755,3,3.0,841.0,3,3,2,6.222576268071369,3.6109179126442243,0.0,0.0,5.351858133476067,0,0.0,None,0.0,6,2010,WD ,Normal,13.195615697878253,7,7,0,1658.095598701378,4.5,8.962776046120291,64.76478961102552,1,0,1,1
16,17,527225035,3.9318256327243257,RL,5.030437921392435,9.403849118160702,Pave,None,2,Bnk,AllPub,Inside,1,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,Wood,4,3,3,GLQ,6.059123195581797,Unf,0.0,4.890349128221754,559.0,GasA,4,Y,SBrkr,6.985641817639208,6.511745329644728,0.0,7.469083884921234,0.0,0.0,2,0,4,0.6931471805599453,3,8,7,0,None,Basment,7.5953872788539725,2,2.0,492.0,3,3,2,5.786897381366708,2.5649493574615367,0.0,0.0,0.0,0,0.0,None,0.0,6,2010,WD ,Normal,12.00762780434872,22,5,1,566.4690838849212,2.0,2.5649493574615367,59.752671079369875,1,0,0,1
17,18,527258010,3.044522437723423,RL,4.48863636973214,9.340929941679784,Pave,None,3,Lvl,AllPub,Corner,2,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,5.860786223465865,4,3,PConc,5,3,3,GLQ,7.27655640271871,Unf,0.0,6.021023349349527,1856.0,GasA,5,Y,SBrkr,7.526717561352706,0.0,0.0,7.526717561352706,1.0,0.0,1,1,1,0.6931471805599453,5,8,7,1,Ex,Attchd,7.606387389772652,3,3.0,834.0,3,3,2,4.736198448394496,0.0,0.0,0.0,0.0,0,0.0,None,0.0,6,2010,New,Partial,12.885204569609956,0,0,0,1863.5267175613526,2.5,0.0,67.74045805217436,1,0,1,1
18,19,527276150,3.044522437723423,RL,4.948759890378168,9.859483417038073,Pave,None,3,Lvl,AllPub,Corner,2,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,LwQ,4.795790545596741,Unf,0.0,6.61338421837956,864.0,GasA,5,Y,SBrkr,6.762729506931879,0.0,0.0,6.762729506931879,0.0,0.0,1,0,2,0.6931471805599453,3,4,7,0,None,Detchd,7.5766097669730375,1,2.0,400.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0,0.0,None,0.0,6,2010,WD ,Normal,11.856522261533737,59,59,0,870.7627295069319,1.0,0.0,27.050918027727516,1,0,0,1
19,20,527302110,3.044522437723423,RL,4.454347296253507,9.486152271857476,Pave,None,3,Lvl,AllPub,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,4.787491742782046,3,3,CBlock,4,3,1,ALQ,6.673297967767654,Rec,5.099866427824199,6.380122536899765,1542.0,GasA,3,Y,SBrkr,7.637234388789473,0.0,0.0,7.637234388789473,1.0,0.0,2,0,3,0.6931471805599453,3,7,6,2,TA,Attchd,7.590346945602565,1,2.0,500.0,3,3,2,5.857933154483459,0.0,0.0,0.0,0.0,0,3.0,None,0.0,2,2010,WD ,Normal,12.25486757159303,32,22,1,1549.6372343887895,3.0,0.0,45.82340633273684,0,0,1,1
20,21,527358140,3.044522437723423,RL,4.663439094112067,9.371778717853713,Pave,None,2,Lvl,AllPub,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,6.175867270105761,3,3,CBlock,4,3,1,BLQ,6.559615237493242,Unf,0.0,7.038783541388542,1844.0,GasA,5,Y,SBrkr,7.520234556474628,0.0,0.0,7.520234556474628,0.0,0.0,2,0,3,0.6931471805599453,3,7,7,1,TA,Attchd,7.589841512182657,2,2.0,546.0,3,3,2,0.0,4.812184355372417,0.0,0.0,0.0,0,3.0,None,0.0,1,2010,COD,Normal,12.154784614286667,33,33,0,1851.5202345564746,2.0,4.812184355372417,45.12140733884777,0,0,1,1
21,22,527358200,4.454347296253507,RL,4.454347296253507,9.271059107010888,Pave,None,3,Lvl,AllPub,Inside,2,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,4.406719247264253,3,3,CBlock,4,3,4,GLQ,6.786716950605081,LwQ,5.1298987149230735,0.0,1053.0,GasA,3,Y,SBrkr,7.068172000388042,0.0,0.0,7.068172000388042,1.0,0.0,2,0,3,0.6931471805599453,4,6,7,2,TA,Attchd,7.5883236773352225,2,2.0,528.0,3,3,2,0.0,4.795790545596741,0.0,0.0,0.0,0,3.0,None,0.0,1,2010,WD ,Family,12.04355959836804,36,36,0,1060.0681720003881,3.0,4.795790545596741,49.47720400271629,0,0,1,1
22,23,527368020,4.110873864173311,FV,4.297285406218791,8.922791623969637,Pave,None,3,Lvl,AllPub,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,GLQ,6.280395838960195,Unf,0.0,5.641907070938114,814.0,GasA,5,Y,SBrkr,6.703188113240863,6.7580945044277305,0.0,7.423568444259167,1.0,0.0,2,1,3,0.6931471805599453,4,7,7,0,None,Attchd,7.601402334583733,2,2.0,663.0,3,3,2,0.0,4.574710978503383,0.0,0.0,0.0,0,0.0,None,0.0,1,2010,WD ,Normal,12.283038316285214,10,10,0,821.4235684442592,3.5,4.574710978503383,51.964979109814166,0,0,0,1
23,24,527402200,3.044522437723423,RL,4.30406509320417,9.32741204356202,Pave,None,2,Lvl,AllPub,CulDSac,2,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,5.198497031265826,3,3,CBlock,3,3,1,ALQ,6.361302477572996,Unf,0.0,6.056784013228625,1004.0,GasA,5,Y,SBrkr,6.912742820493176,0.0,0.0,6.912742820493176,1.0,0.0,1,0,2,0.6931471805599453,3,5,7,1,TA,Attchd,7.58629630715272,3,2.0,480.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0,0.0,Shed,6.55250788703459,3,2010,WD ,Normal,11.91170829631447,40,40,0,1010.9127428204931,2.0,0.0,41.47645692295906,0,0,1,1
24,25,527402250,3.044522437723423,RL,4.30406509320417,9.436519311833914,Pave,None,2,Lvl,AllPub,CulDSac,2,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,GLQ,6.5998704992128365,Unf,0.0,5.84354441703136,1078.0,GasA,5,Y,SBrkr,6.983789965258135,0.0,0.0,6.983789965258135,1.0,0.0,1,1,3,0.6931471805599453,3,6,7,1,Fa,Attchd,7.586803535162581,3,2.0,500.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0,0.0,None,0.0,4,2010,WD ,Normal,11.917730355182513,39,2,1,1084.9837899652582,2.5,0.0,34.91894982629067,1,0,1,1
25,26,527403020,3.044522437723423,RL,4.189654742026425,9.042040056544483,Pave,None,3,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,BLQ,6.654152520183219,Unf,0.0,5.641907070938114,1056.0,GasA,5,Y,SBrkr,6.963189985870238,0.0,0.0,6.963189985870238,1.0,0.0,1,0,3,0.6931471805599453,3,6,7,1,Fa,Attchd,7.585281078639126,1,1.0,304.0,3,3,2,0.0,4.454347296253507,5.220355825078324,0.0,0.0,0,0.0,None,0.0,7,2010,WD ,Normal,11.863589378812122,42,42,0,1062.9631899858703,2.0,9.67470312133183,34.81594992935119,1,0,1,1
26,27,527404120,3.044522437723423,RL,4.2626798770413155,9.036106025364846,Pave,None,3,Lvl,AllPub,Corner,2,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,1,ALQ,6.690842277418564,Rec,4.3694478524670215,0.0,882.0,GasA,3,Y,SBrkr,6.78332520060396,0.0,0.0,6.78332520060396,1.0,0.0,1,0,2,0.6931471805599453,3,4,7,0,None,Attchd,7.58629630715272,3,2.0,525.0,3,3,2,5.484796933490655,0.0,0.0,0.0,0.0,0,3.0,None,0.0,4,2010,WD ,Normal,11.744045122410057,40,40,0,888.7833252006039,2.0,0.0,27.13330080241584,1,0,0,1
27,28,527425090,3.044522437723423,RL,4.2626798770413155,9.259225769705994,Pave,None,3,Lvl,AllPub,FR2,2,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,ALQ,6.07073772800249,Unf,0.0,6.07073772800249,864.0,GasA,3,Y,SBrkr,6.762729506931879,0.0,0.0,6.762729506931879,0.0,0.0,1,0,3,0.6931471805599453,3,5,7,1,Po,None,0.0,0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,None,0.0,4,2010,ConLI,Normal,11.652696102959753,39,39,0,870.7627295069319,1.0,0.0,27.050918027727516,1,0,1,0
28,29,527427230,4.795790545596741,RH,3.295836866004329,8.675734219544788,Pave,None,2,Lvl,AllPub,FR2,2,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,GLQ,6.9584483932976555,BLQ,0.0,5.872117789475416,1405.0,GasA,5,Y,SBrkr,7.198931240688173,0.0,0.0,7.198931240688173,1.0,0.0,2,0,2,0.6931471805599453,4,5,7,1,Fa,Attchd,7.600902459542082,3,2.0,511.0,3,3,2,5.318119993844216,4.23410650459726,0.0,0.0,0.0,0,0.0,None,0.0,6,2010,WD ,Normal,12.122696471358964,11,11,0,1412.1989312406881,3.0,4.23410650459726,50.39251868481721,1,0,1,1
29,30,527451180,5.081404364984463,RM,3.091042453358316,7.427144133408616,Pave,None,3,Lvl,AllPub,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,6.22455842927536,3,3,CBlock,3,3,1,Rec,5.056245805348308,Unf,0.0,5.793013608384144,483.0,GasA,3,Y,SBrkr,6.182084906716632,6.22455842927536,0.0,6.895682697747868,0.0,0.0,1,1,2,0.6931471805599453,3,5,7,0,None,Detchd,7.586803535162581,1,1.0,264.0,3,3,2,5.62040086571715,0.0,0.0,0.0,0.0,0,0.0,None,0.0,2,2010,COD,Normal,11.472113887062386,39,39,0,489.8956826977479,1.5,0.0,41.37409618648721,0,0,0,1
30,31,527451330,5.081404364984463,RM,3.091042453358316,7.427144133408616,Pave,None,3,Lvl,AllPub,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,6.20050917404269,3,3,CBlock,3,3,1,Rec,5.707110264748875,Unf,0.0,5.420534999272286,525.0,GasA,3,Y,SBrkr,6.26530121273771,6.342121418721152,0.0,6.996681488176539,0.0,0.0,1,1,3,0.6931471805599453,3,6,7,0,None,Detchd,7.599901959208498,1,1.0,320.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0,0.0,None,0.0,3,2010,WD ,Normal,11.566475710526321,39,39,0,531.9966814881766,1.5,0.0,34.983407440882694,0,0,0,1
31,32,527451410,5.081404364984463,RM,3.091042453358316,7.427144133408616,Pave,None,3,Lvl,AllPub,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,5.945420608606575,3,3,CBlock,3,3,1,Unf,0.0,Unf,0.0,6.26530121273771,525.0,GasA,3,Y,SBrkr,6.26530121273771,6.342121418721152,0.0,6.996681488176539,0.0,0.0,1,1,3,0.6931471805599453,3,6,7,0,None,Detchd,7.586803535162581,1,1.0,264.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0,0.0,None,0.0,3,2010,WD ,Family,11.385103457032141,39,39,0,531.9966814881766,1.5,0.0,41.980088929059235,0,0,0,1
32,33,527452190,4.795790545596741,RL,3.9889840465642745,8.304989580140361,Pave,None,3,Lvl,AllPub,Inside,2,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,1,ALQ,5.8888779583328805,Unf,0.0,6.565264970035361,1069.0,GasA,3,Y,SBrkr,6.975413927455952,0.0,0.0,6.975413927455952,0.0,0.0,2,0,2,0.6931471805599453,3,4,7,1,Fa,Attchd,7.589841512182657,2,2.0,440.0,3,3,2,0.0,4.02535169073515,0.0,0.0,5.111987788356544,0,0.0,None,0.0,7,2010,WD ,Normal,11.755879486687116,33,33,0,1075.975413927456,2.0,9.137339479091693,41.85248356473571,1,0,1,1
33,34,527453130,5.081404364984463,RL,3.2188758248682006,7.732369222284388,Pave,None,3,Lvl,AllPub,FR2,2,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,3,3,1,ALQ,6.244166900663736,Unf,0.0,5.834810737062605,855.0,GasA,3,Y,SBrkr,6.752270376141742,6.400257445308821,0.0,7.284134806195205,0.0,0.0,2,1,3,0.6931471805599453,4,6,7,1,TA,Attchd,7.588829878307813,1,2.0,440.0,3,3,2,5.159055299214529,0.0,0.0,0.0,0.0,0,0.0,None,0.0,6,2010,WD ,Normal,11.917730355182513,35,35,0,862.2841348061952,2.5,0.0,43.70480883717123,1,0,1,1
